feature,true_count,true_share,false_count,missing
criteria_domain_knowledge,109936,0.8105342318297772,25698,0
is_binary_vote,98348,0.7250984266481856,37286,0
criteria_problem_solving,92247,0.6801170797882536,43387,0
criteria_technical_accuracy,82881,0.6110635976230149,52753,0
criteria_specificity,80315,0.592145037380008,55319,0
criteria_real_world,77642,0.5724375893949895,57992,0
criteria_creativity,71495,0.5271170945338189,64139,0
criteria_complexity,66438,0.4898329327454768,69196,0
is_code,39363,0.290214842886002,96271,0
instruction_following,24666,0.18185705649026054,110968,0
creative_writing,11587,0.08542843239895602,124047,0
math,10892,0.08030434846719849,124742,0
