value,count,share
1,108315,0.7987419528490417
2,15972,0.11778153045196782
3,5350,0.03945224066604231
4,2453,0.018089036701645196
5,1310,0.00966026827523653
6,744,0.005486442440287006
7,495,0.0036502540429328868
8,304,0.0022417721799022176
9,191,0.0014084818630306696
10,138,0.001017646581666138
11,78,0.0005751915461591216
12,63,0.0004645777872823674
13,50,0.0003687125295891805
14,39,0.0002875957730795608
15,30,0.0002212275177535083
16,27,0.00019910476597815747
18,15,0.00011061375887675415
17,13,9.586525769318693e-05
19,11,8.11167565096197e-05
21,9,6.63682553260525e-05
