feature,dtype,non_null,missing,unique_non_null
abs_length_diff_tokens,int64,135634,0,5580
assistant_a_tokens,int64,135634,0,7100
assistant_b_tokens,int64,135634,0,7084
context_a_tokens,int64,135634,0,7649
context_b_tokens,int64,135634,0,7682
creative_writing,bool,135634,0,2
criteria_complexity,bool,135634,0,2
criteria_creativity,bool,135634,0,2
criteria_domain_knowledge,bool,135634,0,2
criteria_problem_solving,bool,135634,0,2
criteria_real_world,bool,135634,0,2
criteria_specificity,bool,135634,0,2
criteria_technical_accuracy,bool,135634,0,2
evaluation_order,int64,135634,0,28
evaluation_session_id,object,135634,0,115372
id,object,135634,0,135634
instruction_following,bool,135634,0,2
is_binary_vote,bool,135634,0,2
is_code,bool,135634,0,2
language,object,135634,0,126
length_diff_tokens,int64,135634,0,8861
length_diff_z,float64,135634,0,8861
log_length_ratio,float64,135634,0,114038
math,bool,135634,0,2
model_a,object,135634,0,53
model_b,object,135634,0,53
side_a_bias,float64,135634,0,1
task_bucket,object,135634,0,4
timestamp,datetime64[ns],135634,0,135634
turns,int64,135634,0,35
winner,object,135634,0,4
winner_binary,float64,98348,37286,2
