other_subtype,rank,token,count
complexity,1,favorite,2
complexity,2,strongly,2
complexity,3,disagree,2
complexity,4,agree,2
complexity,5,animal,1
complexity,6,crossing,1
complexity,7,character,1
complexity,8,rank,1
complexity,9,sza,1
complexity,10,songs,1
complexity,11,best,1
complexity,12,worst,1
complexity,13,choose,1
complexity,14,number,1
complexity,15,between,1
complexity,16,hte,1
complexity,17,fuck,1
complexity,18,battle,1
complexity,19,uno,1
complexity,20,dieci,1
complexity,21,quanto,1
complexity,22,difficile,1
complexity,23,mod,1
complexity,24,minecraft,1
complexity,25,dwelles,1
complexity,26,top,1
complexity,27,three,1
complexity,28,animals,1
complexity,29,bana,1
complexity,30,soru,1
complexity+real_world,1,what's,2
complexity+real_world,2,gracias,1
complexity+real_world,3,best,1
complexity+real_world,4,way,1
complexity+real_world,5,get,1
complexity+real_world,6,new,1
complexity+real_world,7,gamecube,1
complexity+real_world,8,controllers,1
complexity+real_world,9,red,1
complexity+real_world,10,magic,1
complexity+real_world,11,pro,1
complexity+real_world,12,normal,1
complexity+real_world,13,price,1
complexity+real_world,14,oil,1
complexity+real_world,15,change,1
complexity+real_world,16,paid,1
complexity+real_world,17,seattle,1
complexity+real_world,18,seems,1
complexity+real_world,19,very,1
complexity+real_world,20,high,1
complexity+real_world,21,szylinga,1
complexity+real_world,22,pozna,1
complexity+real_world,23,czy,1
complexity+real_world,24,jest,1
complexity+real_world,25,tam,1
complexity+real_world,26,parking,1
complexity+real_world,27,hello,1
complexity+real_world,28,know,1
complexity+real_world,29,contact,1
complexity+real_world,30,solar,1
complexity+specificity,1,number,17
complexity+specificity,2,between,17
complexity+specificity,3,guess,14
complexity+specificity,4,many,10
complexity+specificity,5,sentence,4
complexity+specificity,6,dzie,3
complexity+specificity,7,there,3
complexity+specificity,8,jaki,2
complexity+specificity,9,repeat,2
complexity+specificity,10,word,2
complexity+specificity,11,pick,2
complexity+specificity,12,random,2
complexity+specificity,13,letter,2
complexity+specificity,14,pounds,2
complexity+specificity,15,feathers,2
complexity+specificity,16,r's,2
complexity+specificity,17,t's,2
complexity+specificity,18,mamy,1
complexity+specificity,19,dzisiaj,1
complexity+specificity,20,data,1
complexity+specificity,21,tygodnia,1
complexity+specificity,22,ever,1
complexity+specificity,23,lie,1
complexity+specificity,24,e's,1
complexity+specificity,25,seeedberrey,1
complexity+specificity,26,whats,1
complexity+specificity,27,weighs,1
complexity+specificity,28,more,1
complexity+specificity,29,stones,1
complexity+specificity,30,heavier,1
complexity+specificity+real_world,1,way,2
complexity+specificity+real_world,2,fastest,1
complexity+specificity+real_world,3,get,1
complexity+specificity+real_world,4,fresno,1
complexity+specificity+real_world,5,many,1
complexity+specificity+real_world,6,files,1
complexity+specificity+real_world,7,upload,1
complexity+specificity+real_world,8,asking,1
complexity+specificity+real_world,9,question,1
complexity+specificity+real_world,10,write,1
complexity+specificity+real_world,11,message,1
complexity+specificity+real_world,12,unit,1
complexity+specificity+real_world,13,heads,1
complexity+specificity+real_world,14,leader,1
