token,count
cases,2237
anon,2235
kalnes,2235
nii,1296
json,939
roi,328
one,197
i'm,180
blocked,174
there,154
hello,146
que,146
best,145
know,133
more,129
time,125
think,118
does,114
string,113
i've,112
what's,112
life,111
want,106
lmarena,106
don't,104
been,103
own,103
jest,102
her,102
today,101
day,101
it's,101
people,100
com,100
some,95
les,95
going,94
question,92
est,91
text,91
now,90
czy,90
many,89
get,89
good,89
elle,89
data,88
mode,87
right,86
new,85
must,84
between,83
use,83
system,83
image,82
most,82
user,82
hey,81
answer,81
here,80
