token,count
hello,146
best,142
one,132
know,115
there,112
what's,112
does,110
lmarena,101
today,100
i'm,98
time,97
think,96
life,93
more,90
jest,85
want,83
czy,83
been,81
hey,81
day,78
chat,76
now,76
don't,74
many,74
image,74
right,74
tell,74
get,73
most,73
good,72
use,72
between,70
people,70
i've,69
better,69
through,65
own,64
here,63
doing,63
being,63
some,61
only,61
jak,60
create,59
number,59
answer,58
new,57
que,57
free,56
work,56
way,55
man,55
give,54
going,54
say,53
world,53
thinking,52
year,51
com,51
date,50
