split,rep,comparison,model_a,model_b,metric,value
validation,0,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.00620402248384988
validation,0,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.007027192178429509
validation,0,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.003149672925531477
validation,0,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0007999298482000983
validation,0,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.002953457582238528
validation,0,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0004190994263292003
validation,1,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.006225330342279012
validation,1,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.014935988620199181
validation,1,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.003413746616916208
validation,1,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0003486261224149301
validation,1,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,-0.0010160536476325754
validation,1,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.00024120835058194512
validation,2,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008255806995389636
validation,2,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.012989648873553916
validation,2,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004282797531256183
validation,2,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0005132891092773928
validation,2,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.004160746904810275
validation,2,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0005001270256410617
validation,3,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008995324809385363
validation,3,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.008618067525093864
validation,3,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004262579326878985
validation,3,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0005193010131165909
validation,3,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.006995843049781958
validation,3,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.00031348280385126714
validation,4,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.005803632147585724
validation,4,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.0062931384490458875
validation,4,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0031812033888253544
validation,4,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0007654891683734899
validation,4,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.010353227771010998
validation,4,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.00010804140585721211
validation,5,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.0067289826025083155
validation,5,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.011737089201877993
validation,5,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0037571318457714498
validation,5,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0009546128086331818
validation,5,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.0045927740355173885
validation,5,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.000561076159206142
validation,6,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.006278884163675835
