split,rep,model_name,metric,value
validation,0,baseline,log_loss,0.6463069084929541
validation,0,baseline,brier_score,0.22729831789887509
validation,0,baseline,accuracy,0.6292901517466137
validation,0,full_formatting,log_loss,0.6401028860091043
validation,0,full_formatting,brier_score,0.2241486449733436
validation,0,full_formatting,accuracy,0.6363173439250432
validation,0,signal_interactions,log_loss,0.6393029561609042
validation,0,signal_interactions,brier_score,0.2237295455470144
validation,0,signal_interactions,accuracy,0.6392708015072818
validation,1,baseline,log_loss,0.6469831783997456
validation,1,baseline,brier_score,0.2276377683547845
validation,1,baseline,accuracy,0.6245681771997561
validation,1,full_formatting,log_loss,0.6407578480574666
validation,1,full_formatting,brier_score,0.2242240217378683
validation,1,full_formatting,accuracy,0.6395041658199553
validation,1,signal_interactions,log_loss,0.6411064741798815
validation,1,signal_interactions,brier_score,0.22446523008845023
validation,1,signal_interactions,accuracy,0.6384881121723227
validation,2,baseline,log_loss,0.6481320361180808
validation,2,baseline,brier_score,0.2280495933723147
validation,2,baseline,accuracy,0.6240105540897097
validation,2,full_formatting,log_loss,0.6398762291226912
validation,2,full_formatting,brier_score,0.22376679584105852
validation,2,full_formatting,accuracy,0.6370002029632637
validation,2,signal_interactions,log_loss,0.6403895182319685
validation,2,signal_interactions,brier_score,0.22426692286669958
validation,2,signal_interactions,accuracy,0.6411609498680739
validation,3,baseline,log_loss,0.6454052351186489
validation,3,baseline,brier_score,0.2269275429495545
validation,3,baseline,accuracy,0.6254689242623948
validation,3,full_formatting,log_loss,0.6364099103092635
validation,3,full_formatting,brier_score,0.22266496362267552
validation,3,full_formatting,accuracy,0.6340869917874886
validation,3,signal_interactions,log_loss,0.6358906092961469
validation,3,signal_interactions,brier_score,0.22235148081882425
validation,3,signal_interactions,accuracy,0.6410828348372706
validation,4,baseline,log_loss,0.6504715909243511
validation,4,baseline,brier_score,0.22917543306534308
validation,4,baseline,accuracy,0.6219041818920016
validation,4,full_formatting,log_loss,0.6446679587767654
validation,4,full_formatting,brier_score,0.22599422967651772
validation,4,full_formatting,accuracy,0.6281973203410475
validation,4,signal_interactions,log_loss,0.6439024696083919
validation,4,signal_interactions,brier_score,0.2258861882706605
validation,4,signal_interactions,accuracy,0.6385505481120585
validation,5,baseline,log_loss,0.6467059969385599
validation,5,baseline,brier_score,0.22746179750382983
validation,5,baseline,accuracy,0.6252296387017758
validation,5,full_formatting,log_loss,0.6399770143360516
validation,5,full_formatting,brier_score,0.22370466565805838
validation,5,full_formatting,accuracy,0.6369667279036538
validation,5,signal_interactions,log_loss,0.6409316271446848
validation,5,signal_interactions,brier_score,0.22426574181726452
validation,5,signal_interactions,accuracy,0.6415595019391712
validation,6,baseline,log_loss,0.6422065525701559
validation,6,baseline,brier_score,0.22544639925876667
