split,model_name,metric,mean,std,ci_lower,ci_upper
test,baseline,accuracy,0.627493442110165,0.004792765525502079,0.6178923936220896,0.6366978841661819
test,full_formatting,accuracy,0.6383342433003437,0.004738599805274716,0.6289065651949939,0.6477737407233644
test,signal_interactions,accuracy,0.6418653191601722,0.004731305872963213,0.6322940946327443,0.6507113862353227
test,baseline,brier_score,0.2273145762493856,0.0013880589186965335,0.2246179785576604,0.23008848567596615
test,full_formatting,brier_score,0.22234815869432892,0.001458432729279939,0.2194671236910212,0.2252221877148234
test,signal_interactions,brier_score,0.2232039516748252,0.001441291887717595,0.220370661895736,0.22605924179058154
test,baseline,log_loss,0.6464419962866257,0.003006234211958269,0.6406286429683031,0.6524711978527624
test,full_formatting,log_loss,0.6355985396762983,0.0032277978174648737,0.6292916697117446,0.641900784303708
test,signal_interactions,log_loss,0.6387400630538943,0.0032844884351174533,0.632221597883093,0.6450486078564422
validation,baseline,accuracy,0.6269628394688959,0.004814560356095777,0.6172669129276022,0.6361507424785378
validation,full_formatting,accuracy,0.6367096337759931,0.004785086152358435,0.627246587412613,0.6461511146190072
validation,signal_interactions,accuracy,0.6414811908155599,0.004874143829952147,0.6318786595370175,0.6511989114651697
validation,baseline,brier_score,0.22690549606711227,0.001396352956254095,0.22422509220348144,0.22966151881609712
validation,full_formatting,brier_score,0.2231830270160634,0.0014532328712332592,0.2202926031708753,0.2259944774598464
validation,signal_interactions,brier_score,0.22323770058144504,0.0014432644596969286,0.22040476798947392,0.22604074481879713
validation,baseline,log_loss,0.6454959031578159,0.0030169680940794956,0.6396651036323642,0.6515123843168028
validation,full_formatting,log_loss,0.6380521085010883,0.003265039120708357,0.6316679849469314,0.6442528243771335
validation,signal_interactions,log_loss,0.6383176638168172,0.003215986653647548,0.6319972259749648,0.6446095349042525
